Symbol,Description,Market Capitalization,Sector,Industry,Sub-Industry,Price,Index,Price Change YTD,Performance vs. S&P 500 YTD,Performance vs. Industry YTD,Total Return 1 Year
PEAK,Healthpeak Properties Inc,$11B (Mid),Real Estate,Health Care REITs,Health Care REITs,19.54,S&P 500,-22.06%,-30.29%,--,-30.03%
SEE,Sealed Air Corp,$6B (Small),Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,38.94,S&P 500,-21.93%,-31.36%,--,-36.19%
FITB,Fifth Third Bancorp,$17B (Mid),Financials,Banks,Diversified Banks,25.64,S&P 500,-21.85%,-28.97%,-7.50%,-31.03%
PNC,PNC Financial Services Group Inc,$49B (Large),Financials,Banks,Diversified Banks,123.44,S&P 500,-21.84%,-29.47%,-7.49%,-25.45%
LNC,Lincoln National Corp,$4B (Small),Financials,Insurance,Life & Health Insurance,24.13,S&P 500,-21.45%,-29.83%,-18.36%,-55.18%
WRK,Westrock Co,$7B (Small),Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,27.62,S&P 500,-21.44%,-29.54%,--,-40.75%
ADM,Archer-Daniels-Midland Co,$40B (Mid),Consumer Staples,Food Products,Agricultural Products & Services,73.06,S&P 500,-21.31%,-30.42%,-19.06%,-13.97%
EL,Estee Lauder Companies Inc,$70B (Large),Consumer Staples,Personal Care Products,Personal Care Products,195.54,S&P 500,-21.19%,-30.97%,-13.00%,-21.01%
FIS,Fidelity National Information Services Inc,$32B (Mid),Financials,Financial Services,Transaction & Payment Processing Services,53.54,S&P 500,-21.09%,-30.50%,-24.98%,-46.31%
A,Agilent Technologies Inc,$35B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,118.68,S&P 500,-20.69%,-30.46%,-14.65%,-2.94%
SBAC,SBA Communications Corp,$24B (Mid),Real Estate,Specialized REITs,Telecom Tower REITs,222.58,S&P 500,-20.60%,-30.60%,--,-31.98%
HAL,Halliburton Co,$28B (Mid),Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,31.27,S&P 500,-20.53%,-28.66%,-7.71%,-23.19%
RF,Regions Financial Corp,$16B (Mid),Financials,Banks,Regional Banks,17.15,S&P 500,-20.45%,-27.84%,-6.10%,-16.79%
ALL,Allstate Corp,$28B (Mid),Financials,Insurance,Property & Casualty Insurance,108.00,S&P 500,-20.35%,-30.13%,-17.26%,-16.99%
MOS,Mosaic Co,$12B (Mid),Materials,Chemicals,Fertilizers & Agricultural Chemicals,35.09,S&P 500,-20.01%,-28.46%,-22.70%,-38.96%
WRB,W R Berkley Corp,$15B (Mid),Financials,Insurance,Property & Casualty Insurance,58.47,S&P 500,-19.43%,-28.14%,-16.34%,-15.55%
CPB,Campbell Soup Co,$14B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,45.78,S&P 500,-19.33%,-29.21%,-17.08%,0.25%
NDAQ,Nasdaq Inc,$24B (Mid),Financials,Capital Markets,Financial Exchanges & Data,49.55,S&P 500,-19.23%,-27.52%,-15.99%,-0.58%
CCI,Crown Castle Inc,$48B (Large),Real Estate,Specialized REITs,Telecom Tower REITs,109.65,S&P 500,-19.16%,-27.28%,--,-38.46%
TSN,Tyson Foods Inc,$18B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,50.41,S&P 500,-19.02%,-28.70%,-16.77%,-41.04%
MTB,M&T Bank Corp,$20B (Mid),Financials,Banks,Regional Banks,117.59,S&P 500,-18.94%,-25.94%,-4.59%,-31.66%
NTRS,Northern Trust Corp,$15B (Mid),Financials,Capital Markets,Asset Management & Custody Banks,71.75,S&P 500,-18.92%,-27.50%,-15.68%,-31.28%
CNC,Centene Corp,$37B (Mid),Health Care,Health Care Providers & Services,Managed Health Care,66.80,S&P 500,-18.55%,-29.21%,-10.86%,-17.74%
LDOS,Leidos Holdings Inc,$12B (Mid),Industrials,Professional Services,Research & Consulting Services,86.00,S&P 500,-18.24%,-27.70%,-21.51%,-16.31%
MRO,Marathon Oil Corp,$14B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,22.25,S&P 500,-17.81%,-25.15%,-7.38%,-28.07%
RVTY,Revvity Inc,$14B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,115.29,S&P 500,-17.78%,-27.68%,-11.73%,-20.92%
CI,Cigna Group,$81B (Large),Health Care,Health Care Providers & Services,Health Care Services,275.33,S&P 500,-16.90%,-27.32%,-9.21%,6.23%
EOG,EOG Resources Inc,$63B (Large),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,108.25,S&P 500,-16.42%,-24.02%,-6.00%,-16.73%
CF,CF Industries Holdings Inc,$14B (Mid),Materials,Chemicals,Fertilizers & Agricultural Chemicals,71.23,S&P 500,-16.40%,-24.74%,-19.08%,-24.04%
MMM,3M Co,$55B (Large),Industrials,Industrial Conglomerates,Industrial Conglomerates,100.43,S&P 500,-16.25%,-25.58%,-25.01%,-27.89%
NOC,NORTHROP GRUMMAN CORP,$70B (Large),Industrials,Aerospace & Defense,Aerospace & Defense,458.06,S&P 500,-16.05%,-25.45%,-14.88%,0.14%
ES,Eversource Energy,$25B (Mid),Utilities,Electric Utilities,Electric Utilities,70.75,S&P 500,-15.61%,-25.28%,-9.04%,-20.64%
GEN,Gen Digital Inc,$12B (Mid),Information Technology,Software,Systems Software,18.09,S&P 500,-15.59%,-25.19%,-54.84%,-23.51%
BAC,Bank of America Corp,$223B (Large),Financials,Banks,Diversified Banks,27.96,S&P 500,-15.58%,-24.13%,-1.23%,-21.23%
AMCR,Amcor PLC,$15B (Mid),Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,10.07,S&P 500,-15.45%,-25.05%,--,-20.27%
T,AT&T Inc,$111B (Large),Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,15.58,S&P 500,-15.37%,-25.43%,-3.05%,-22.10%
ABBV,Abbvie Inc,$242B (Large),Health Care,Biotechnology,Biotechnology,137.41,S&P 500,-14.97%,-25.52%,-5.96%,-2.25%
CVX,Chevron Corp,$287B (Large),Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,152.64,S&P 500,-14.96%,-24.11%,-4.53%,-10.32%
PRU,Prudential Financial Inc,$31B (Mid),Financials,Insurance,Life & Health Insurance,84.66,S&P 500,-14.88%,-24.49%,-11.79%,-15.46%
WBA,Walgreens Boots Alliance Inc,$28B (Mid),Consumer Staples,Consumer Staples Distribution & Retail,Drug Retail,31.89,S&P 500,-14.64%,-25.71%,-18.64%,-22.37%
COP,Conocophillips,$123B (Large),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,101.43,S&P 500,-14.04%,-22.71%,-3.62%,-7.72%
SEDG,Solaredge Technologies Inc,$14B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,244.57,S&P 500,-13.66%,-21.76%,-76.82%,-10.24%
PFG,Principal Financial Group Inc,$18B (Mid),Financials,Insurance,Life & Health Insurance,72.52,S&P 500,-13.58%,-23.35%,-10.49%,4.80%
D,Dominion Energy Inc,$44B (Large),Utilities,Multi-Utilities,Multi-Utilities,53.00,S&P 500,-13.57%,-23.57%,-7.92%,-33.25%
GD,General Dynamics Corp,$59B (Large),Industrials,Aerospace & Defense,Aerospace & Defense,214.45,S&P 500,-13.57%,-22.89%,-12.40%,-3.05%
FMC,FMC Corp,$13B (Mid),Materials,Chemicals,Fertilizers & Agricultural Chemicals,107.91,S&P 500,-13.53%,-23.29%,-16.22%,-9.61%
BIO,Bio Rad Laboratories Inc,$9B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,364.78,S&P 500,-13.25%,-23.35%,-7.20%,-30.89%
VLO,Valero Energy Corp,$40B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,110.39,S&P 500,-12.98%,-22.62%,-2.56%,-13.99%
MOH,Molina Healthcare Inc,$17B (Mid),Health Care,Health Care Providers & Services,Managed Health Care,287.43,S&P 500,-12.96%,-24.63%,-5.27%,0.02%
PSX,Phillips 66,$42B (Large),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,90.81,S&P 500,-12.75%,-21.18%,-2.33%,-8.33%
AMGN,Amgen Inc,$123B (Large),Health Care,Biotechnology,Biotechnology,229.66,S&P 500,-12.56%,-23.97%,-3.54%,-6.36%
SLB,Schlumberger NV,$67B (Large),Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,46.84,S&P 500,-12.38%,-21.43%,0.44%,2.18%
PXD,Pioneer Natural Resources Co,$47B (Large),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,200.19,S&P 500,-12.35%,-21.73%,-1.92%,-20.20%
ELV,Elevance Health Inc,$107B (Large),Health Care,Health Care Providers & Services,Managed Health Care,449.87,S&P 500,-12.30%,-23.70%,-4.61%,-8.60%
AMT,American Tower Corp,$87B (Large),Real Estate,Specialized REITs,Telecom Tower REITs,186.43,S&P 500,-12.00%,-21.40%,--,-23.47%
ETR,Entergy Corp,$21B (Mid),Utilities,Electric Utilities,Electric Utilities,99.18,S&P 500,-11.84%,-21.36%,-5.27%,-14.21%
DUK,Duke Energy Corp,$70B (Large),Utilities,Electric Utilities,Electric Utilities,90.90,S&P 500,-11.74%,-21.74%,-5.17%,-15.29%
GL,Globe Life Inc,$10B (Mid),Financials,Insurance,Life & Health Insurance,106.40,S&P 500,-11.74%,-22.05%,-8.65%,10.19%
CB,Chubb Ltd,$81B (Large),Financials,Insurance,Property & Casualty Insurance,195.14,S&P 500,-11.54%,-22.69%,-8.45%,-4.46%
AIG,American International Group Inc,$41B (Mid),Financials,Insurance,Multi-line Insurance,55.97,S&P 500,-11.50%,-21.48%,-8.40%,-0.26%
OKE,ONEOK Inc,$26B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,58.19,S&P 500,-11.43%,-20.91%,-1.01%,-7.58%
KHC,Kraft Heinz Co,$44B (Large),Consumer Staples,Food Products,Packaged Foods & Meats,36.07,S&P 500,-11.40%,-22.08%,-9.14%,0.94%
DGX,Quest Diagnostics Inc,$16B (Mid),Health Care,Health Care Providers & Services,Health Care Services,138.79,S&P 500,-11.28%,-22.05%,-3.59%,2.11%
IP,International Paper Co,$11B (Mid),Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,30.74,S&P 500,-11.23%,-20.97%,--,-31.90%
BAX,Baxter International Inc,$23B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,45.25,S&P 500,-11.22%,-22.63%,-23.19%,-37.49%
MTD,Mettler-Toledo International Inc,$28B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,1283.37,S&P 500,-11.21%,-21.39%,-5.17%,1.58%
TGT,Target Corp,$61B (Large),Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,132.39,S&P 500,-11.17%,-21.39%,-15.17%,-13.23%
CAG,Conagra Brands Inc,$16B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,34.39,S&P 500,-11.14%,-21.85%,-8.88%,9.67%
KIM,Kimco Realty Corp,$12B (Mid),Real Estate,Retail REITs,Retail REITs,18.85,S&P 500,-11.00%,-20.69%,--,-13.33%
DHR,Danaher Corp,$174B (Large),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,236.38,S&P 500,-10.94%,-21.23%,-4.90%,-9.07%
HUM,Humana Inc,$57B (Large),Health Care,Health Care Providers & Services,Managed Health Care,456.44,S&P 500,-10.88%,-22.27%,-3.20%,2.66%
HRL,Hormel Foods Corp,$22B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,40.61,S&P 500,-10.85%,-21.46%,-8.59%,-13.86%
IEX,IDEX Corp,$15B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,203.62,S&P 500,-10.82%,-20.40%,-17.96%,7.66%
NEM,Newmont Corporation,$33B (Mid),Materials,Metals & Mining,Gold,42.15,S&P 500,-10.70%,-20.66%,-15.05%,-34.50%
NSC,Norfolk Southern Corp,$50B (Large),Industrials,Ground Transportation,Rail Transportation,220.11,S&P 500,-10.68%,-21.20%,-13.61%,-6.94%
KDP,Keurig Dr Pepper Inc,$45B (Large),Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,31.92,S&P 500,-10.49%,-21.72%,-12.61%,-5.80%
XEL,Xcel Energy Inc,$35B (Mid),Utilities,Electric Utilities,Electric Utilities,62.76,S&P 500,-10.48%,-21.21%,-3.91%,-13.32%
AEP,American Electric Power Company Inc,$44B (Large),Utilities,Electric Utilities,Electric Utilities,85.10,S&P 500,-10.37%,-20.85%,-3.80%,-13.59%
BBWI,Bath & Body Works Inc,$9B (Mid),Consumer Discretionary,Specialty Retail,Other Specialty Retail,37.81,S&P 500,-10.28%,-19.52%,-10.29%,-1.86%
OXY,Occidental Petroleum Corp,$51B (Large),Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,56.52,S&P 500,-10.27%,-19.76%,0.15%,-18.78%
NEE,Nextera Energy Inc,$152B (Large),Utilities,Electric Utilities,Electric Utilities,75.13,S&P 500,-10.13%,-20.28%,-3.56%,0.90%
IVZ,Invesco Ltd,$7B (Small),Financials,Capital Markets,Asset Management & Custody Banks,16.18,S&P 500,-10.06%,-19.29%,-6.82%,-11.36%
VTRS,Viatris Inc,$12B (Mid),Health Care,Pharmaceuticals,Pharmaceuticals,10.05,S&P 500,-9.70%,-20.11%,-7.96%,-12.77%
UNH,UnitedHealth Group Inc,$446B (Large),Health Care,Health Care Providers & Services,Managed Health Care,479.05,S&P 500,-9.64%,-20.92%,-1.95%,-1.03%
FRT,Federal Realty Investment Trust,$7B (Small),Real Estate,Retail REITs,Retail REITs,91.31,S&P 500,-9.63%,-19.60%,--,-15.10%
BMY,Bristol-Myers Squibb Co,$137B (Large),Health Care,Pharmaceuticals,Pharmaceuticals,65.30,S&P 500,-9.24%,-19.94%,-7.50%,-10.18%
GILD,Gilead Sciences Inc,$97B (Large),Health Care,Biotechnology,Biotechnology,78.11,S&P 500,-9.02%,-20.49%,0.00%,26.91%
VZ,Verizon Communications Inc,$151B (Large),Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,35.85,S&P 500,-9.01%,-20.02%,3.32%,-25.85%
EMR,Emerson Electric Co,$50B (Large),Industrials,Electrical Equipment,Electrical Components & Equipment,87.42,S&P 500,-8.99%,-19.94%,-22.00%,1.09%
KMI,Kinder Morgan Inc,$37B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,16.49,S&P 500,-8.79%,-19.06%,1.63%,-12.32%
PPL,PPL Corp,$20B (Mid),Utilities,Electric Utilities,Electric Utilities,26.72,S&P 500,-8.56%,-19.07%,-1.99%,-6.89%
RJF,Raymond James Financial Inc,$21B (Mid),Financials,Capital Markets,Investment Banking & Brokerage,98.29,S&P 500,-8.01%,-17.81%,-4.77%,2.15%
FANG,Diamondback Energy Inc,$23B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,125.85,S&P 500,-7.99%,-17.91%,2.43%,-12.27%
K,Kellogg Co,$22B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,65.55,S&P 500,-7.99%,-19.46%,-5.73%,-1.72%
PARA,Paramount Global,$9B (Mid),Communication Services,Media,Broadcasting,15.55,S&P 500,-7.88%,-17.99%,-16.56%,-49.60%
ADP,Automatic Data Processing Inc,$91B (Large),Industrials,Professional Services,Human Resource & Employment Services,220.40,S&P 500,-7.73%,-18.79%,-11.00%,3.07%
TECH,Bio-Techne Corp,$12B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,76.51,S&P 500,-7.69%,-18.66%,-1.64%,-14.64%
JKHY,Jack Henry & Associates Inc,$12B (Mid),Financials,Financial Services,Transaction & Payment Processing Services,162.26,S&P 500,-7.58%,-17.71%,-11.46%,-11.78%
HIG,Hartford Financial Services Group Inc,$22B (Mid),Financials,Insurance,Multi-line Insurance,70.10,S&P 500,-7.56%,-17.91%,-4.47%,0.66%
TXT,Textron Inc,$13B (Mid),Industrials,Aerospace & Defense,Aerospace & Defense,65.45,S&P 500,-7.56%,-17.32%,-6.39%,0.36%
AEE,Ameren Corp,$22B (Mid),Utilities,Multi-Utilities,Multi-Utilities,82.29,S&P 500,-7.46%,-17.71%,-1.80%,-9.72%
EVRG,Evergy Inc,$13B (Mid),Utilities,Electric Utilities,Electric Utilities,58.30,S&P 500,-7.36%,-17.53%,-0.79%,-13.39%
DPZ,Domino's Pizza Inc,$11B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,321.04,S&P 500,-7.32%,-17.97%,-24.72%,-9.50%
AVY,Avery Dennison Corp,$14B (Mid),Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,167.91,S&P 500,-7.23%,-17.50%,--,-1.32%
SPG,Simon Property Group Inc,$36B (Mid),Real Estate,Retail REITs,Retail REITs,109.08,S&P 500,-7.15%,-17.11%,--,6.18%
WMB,Williams Companies Inc,$37B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,30.57,S&P 500,-7.08%,-17.61%,3.34%,-12.74%
ROST,Ross Stores Inc,$37B (Mid),Consumer Discretionary,Specialty Retail,Apparel Retail,107.96,S&P 500,-6.99%,-18.74%,-7.00%,32.76%
GPC,Genuine Parts Co,$23B (Mid),Consumer Discretionary,Distributors,Distributors,161.49,S&P 500,-6.93%,-18.16%,-7.89%,22.43%
GS,Goldman Sachs Group Inc,$106B (Large),Financials,Capital Markets,Investment Banking & Brokerage,319.58,S&P 500,-6.93%,-16.74%,-3.69%,2.19%
STT,State Street Corp,$24B (Mid),Financials,Capital Markets,Asset Management & Custody Banks,72.21,S&P 500,-6.91%,-17.20%,-3.67%,6.98%
IBM,International Business Machines Corp,$119B (Large),Information Technology,IT Services,IT Consulting & Other Services,131.17,S&P 500,-6.90%,-16.55%,-17.48%,-1.09%
LHX,L3Harris Technologies Inc,$37B (Mid),Industrials,Aerospace & Defense,Aerospace & Defense,194.10,S&P 500,-6.78%,-17.05%,-5.61%,-17.45%
TRV,Travelers Companies Inc,$40B (Mid),Financials,Insurance,Property & Casualty Insurance,175.01,S&P 500,-6.66%,-17.78%,-3.57%,1.98%
APD,Air Products and Chemicals Inc,$64B (Large),Materials,Chemicals,Industrial Gases,288.01,S&P 500,-6.57%,-17.51%,-9.25%,21.29%
KEYS,Keysight Technologies Inc,$29B (Mid),Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,159.89,S&P 500,-6.54%,-17.15%,-15.14%,11.38%
BG,Bunge Ltd,$14B (Mid),Consumer Staples,Food Products,Agricultural Products & Services,93.27,S&P 500,-6.51%,-19.06%,-4.26%,-16.12%
FE,FirstEnergy Corp,$22B (Mid),Utilities,Electric Utilities,Electric Utilities,39.22,S&P 500,-6.49%,-17.27%,0.08%,-4.07%
HON,Honeywell International Inc,$134B (Large),Industrials,Industrial Conglomerates,Industrial Conglomerates,200.65,S&P 500,-6.37%,-17.18%,-15.13%,6.71%
XOM,Exxon Mobil Corp,$418B (Large),Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,103.30,S&P 500,-6.35%,-17.18%,4.08%,9.23%
CRL,Charles River Laboratories International Inc,$10B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,204.17,S&P 500,-6.30%,-16.73%,-0.26%,-11.11%
JNJ,Johnson & Johnson,$430B (Large),Health Care,Pharmaceuticals,Pharmaceuticals,165.62,S&P 500,-6.24%,-18.41%,-4.50%,-4.17%
O,Realty Income Corp,$40B (Mid),Real Estate,Retail REITs,Retail REITs,59.47,S&P 500,-6.24%,-17.35%,--,-8.46%
EXC,Exelon Corp,$40B (Mid),Utilities,Electric Utilities,Electric Utilities,40.54,S&P 500,-6.22%,-16.77%,0.35%,-14.80%
AFL,Aflac Inc,$41B (Mid),Financials,Insurance,Life & Health Insurance,67.54,S&P 500,-6.12%,-17.44%,-3.03%,15.74%
CMS,CMS Energy Corp,$17B (Mid),Utilities,Multi-Utilities,Multi-Utilities,59.61,S&P 500,-5.87%,-16.19%,-0.22%,-13.20%
REG,Regency Centers Corp,$10B (Mid),Real Estate,Retail REITs,Retail REITs,58.89,S&P 500,-5.78%,-16.08%,--,-7.77%
HES,Hess Corp,$41B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,133.65,S&P 500,-5.76%,-17.47%,4.66%,6.49%
NKE,Nike Inc,$170B (Large),Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,110.46,S&P 500,-5.60%,-17.34%,-1.59%,-5.56%
HII,Huntington Ingalls Industries Inc,$9B (Mid),Industrials,Aerospace & Defense,Aerospace & Defense,217.95,S&P 500,-5.52%,-16.25%,-4.36%,5.88%
PM,Philip Morris International Inc,$149B (Large),Consumer Staples,Tobacco,Tobacco,95.69,S&P 500,-5.45%,-16.28%,-0.50%,-3.35%
SRE,Sempra,$46B (Large),Utilities,Multi-Utilities,Multi-Utilities,146.52,S&P 500,-5.19%,-15.49%,0.46%,-7.65%
MAA,Mid-America Apartment Communities Inc,$17B (Mid),Real Estate,Residential REITs,Multi-Family Residential REITs,149.09,S&P 500,-5.03%,-15.01%,--,-14.18%
BK,Bank of New York Mellon Corp,$34B (Mid),Financials,Capital Markets,Asset Management & Custody Banks,43.25,S&P 500,-4.99%,-14.99%,-1.75%,-1.98%
CINF,Cincinnati Financial Corp,$15B (Mid),Financials,Insurance,Property & Casualty Insurance,97.43,S&P 500,-4.84%,-15.83%,-1.75%,-20.08%
MKTX,Marketaxess Holdings Inc,$10B (Mid),Financials,Capital Markets,Financial Exchanges & Data,265.44,S&P 500,-4.82%,-15.83%,-1.58%,-3.18%
WEC,WEC Energy Group Inc,$28B (Mid),Utilities,Multi-Utilities,Multi-Utilities,89.28,S&P 500,-4.78%,-14.93%,0.87%,-11.96%
LMT,Lockheed Martin Corp,$118B (Large),Industrials,Aerospace & Defense,Aerospace & Defense,463.43,S&P 500,-4.74%,-15.75%,-3.58%,8.25%
CMI,Cummins Inc,$33B (Mid),Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,230.94,S&P 500,-4.68%,-15.33%,-11.82%,14.12%
HD,Home Depot Inc,$303B (Large),Consumer Discretionary,Specialty Retail,Home Improvement Retail,301.18,S&P 500,-4.65%,-16.27%,-4.66%,4.11%
LNT,Alliant Energy Corp,$13B (Mid),Utilities,Electric Utilities,Electric Utilities,52.73,S&P 500,-4.49%,-15.14%,2.08%,-13.81%
JNPR,Juniper Networks Inc,$10B (Mid),Information Technology,Communications Equipment,Communications Equipment,30.57,S&P 500,-4.35%,-15.24%,-11.99%,2.26%
MO,Altria Group Inc,$78B (Large),Consumer Staples,Tobacco,Tobacco,43.76,S&P 500,-4.27%,-15.44%,0.69%,-10.25%
MPC,Marathon Petroleum Corp,$47B (Large),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,111.42,S&P 500,-4.27%,-15.37%,6.15%,9.94%
